29403;# doc = rechSTARTNUM1.2ENDNUM.txt;;;;;;;;;;;;;;;;
29404;# speaker = Д;;;;;;;;;;;;;;;;
29405;# sent = 2191;;;;;;;;;;;;;;;;
29431;;должен;ДОЛЖНЫЙ;A - - sg brev m -;;;я его не _должен_ комментировать .;н;е;ж;л;о;д;A;ДОЛЖНЫЙ;A - - sg brev m -;Й
29432;;комментировать;КОММЕНТИРОВАТЬ;V ipf - - inf - -;;;его не должен _комментировать_ .;ь;т;а;в;о;р;V;КОММЕНТИРОВАТЬ;V ipf - - inf - -;Ь
29433;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29434;;;;;;;;;;;;;;;;;
29435;# sent = 2194;;;;;;;;;;;;;;;;
29436;# speaker = Я;;;;;;;;;;;;;;;;
29437;# sent = 2195;;;;;;;;;;;;;;;;
29438;;Мм;ММ;INTJ;;;_Мм_ .;м;м;;;;;INTJ;ММ;S m inan nonflex -;М
29439;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29440;;;;;;;;;;;;;;;;;
29441;# sent = 2196;;;;;;;;;;;;;;;;
29442;;Нет;НЕТ;PART;;;. _Нет_ , это не;т;е;н;;;;PART;НЕТ;PART;Т
29443;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29444;;это;ЭТО;SPRO n - nom sg;;;Нет , _это_ не промо -;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
29445;;не;НЕ;PART;;;Нет , это _не_ промо - ролик;е;н;;;;;PART;НЕ;PART;Е
29446;;промо;ПРОМО;A - nom sg plen m -;;;, это не _промо_ - ролик ,;о;м;о;р;п;;A;ПРОМОЙ;A - - sg brev n -;Й
29447;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
29448;;ролик;РОЛИК;S m inan nom sg;;;не промо - _ролик_ , все нормально;к;и;л;о;р;;S;РОЛИК;S m inan nom sg;К
29449;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29450;;все;ВЕСЬ;APRO - nom sg plen n -;;;- ролик , _все_ нормально .;е;с;в;;;;S;ВСЕ;S - - nom pl;Е
29451;;нормально;НОРМАЛЬНЫЙ;A - - sg brev n -;;;ролик , все _нормально_ .;о;н;ь;л;а;м;ADV;НОРМАЛЬНО;ADV -;О
29452;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29453;;;;;;;;;;;;;;;;;
29454;# sent = 2197;;;;;;;;;;;;;;;;
29455;;Это;ЭТО;SPRO n - nom sg;;;. _Это_ уже сам …;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
29456;;уже;УЖЕ;ADV -;;;Это _уже_ сам … само;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
29457;;сам;САМ;A - nom sg plen m -;;;Это уже _сам_ … само видео;м;а;с;;;;A;САМ;A - nom sg plen m -;М
29458;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29459;;само;САМ;A - nom sg plen n -;;;уже сам … _само_ видео .;о;м;а;с;;;A;САМ;A - nom sg plen n -;М
29460;;видео;ВИДЕО;S n inan nom sg;;;сам … само _видео_ .;о;е;д;и;в;;S;ВИДЕО;S n inan nonflex -;О
29461;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29462;;;;;;;;;;;;;;;;;
29463;# sent = 2198;;;;;;;;;;;;;;;;
29464;# speaker = Д;;;;;;;;;;;;;;;;
29465;# sent = 2199;;;;;;;;;;;;;;;;
29466;;Выглядит;ВЫГЛЯДЕТЬ;V ipf praes sg indic - 3p;;;_Выглядит_ , как реклама;т;и;д;я;л;г;V;ВЫГЛЯДЕТЬ;V ipf praes sg indic - 3p;Ь
29467;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29468;;как;КАК;CONJ;;;Выглядит , _как_ реклама .;к;а;к;;;;CONJ;КАК;CONJ;К
29469;;реклама;РЕКЛАМА;S f inan nom sg;;;Выглядит , как _реклама_ .;а;м;а;л;к;е;S;РЕКЛАМА;S f inan nom sg;А
29470;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29471;;;;;;;;;;;;;;;;;
29472;# sent = 2200;;;;;;;;;;;;;;;;
29473;# speaker = Я;;;;;;;;;;;;;;;;
29474;# sent = 2201;;;;;;;;;;;;;;;;
29475;;Ой;ОЙ;INTJ;;;_Ой_ , блин ,;й;о;;;;;INTJ;ОЙ;INTJ;Й
29476;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29477;;блин;БЛИН;INTJ;;;Ой , _блин_ , говори погромче;н;и;л;б;;;S;БЛИН;S m inan nom sg;Н
29478;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29479;;говори;ГОВОРИТЬ;V ipf - sg imper - 2p;;;, блин , _говори_ погромче .;и;р;о;в;о;г;V;ГОВОРИТЬ;V ipf - sg imper - 2p;Ь
29480;;погромче;ГРОМКО;ADV comp;;;блин , говори _погромче_ .;е;ч;м;о;р;г;ADV;ГРОМКО;ADV comp;О
29481;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29482;;;;;;;;;;;;;;;;;
29483;# sent = 2202;;;;;;;;;;;;;;;;
29484;# speaker = Д;;;;;;;;;;;;;;;;
29485;# sent = 2203;;;;;;;;;;;;;;;;
29486;;Выглядит;ВЫГЛЯДЕТЬ;V ipf praes sg indic - 3p;;;_Выглядит_ , как реклама;т;и;д;я;л;г;V;ВЫГЛЯДЕТЬ;V ipf praes sg indic - 3p;Ь
29487;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29488;;как;КАК;CONJ;;;Выглядит , _как_ реклама .;к;а;к;;;;CONJ;КАК;CONJ;К
29489;;реклама;РЕКЛАМА;S f inan nom sg;;;Выглядит , как _реклама_ .;а;м;а;л;к;е;S;РЕКЛАМА;S f inan nom sg;А
29490;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29491;;;;;;;;;;;;;;;;;
29492;# sent = 2204;;;;;;;;;;;;;;;;
29493;# speaker = Я;;;;;;;;;;;;;;;;
29494;# sent = 2205;;;;;;;;;;;;;;;;
29495;;Угу;УГУ;INTJ;;;_Угу_ , спасибо .;у;г;у;;;;INTJ;УГУ;INTJ;У
29496;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29497;;спасибо;СПАСИБО;S n inan nom sg;;;Угу , _спасибо_ .;о;б;и;с;а;п;S;СПАСИБО;S n inan nonflex -;О
29498;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29499;;;;;;;;;;;;;;;;;
29500;# sent = 2206;;;;;;;;;;;;;;;;
29501;;Ну;НУ;PART;;;. _Ну_ , говори что-нибудь;у;н;;;;;PART;НУ;PART;У
29502;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29503;;говори;ГОВОРИТЬ;V ipf - sg imper - 2p;;;Ну , _говори_ что-нибудь , я;и;р;о;в;о;г;V;ГОВОРИТЬ;V ipf - sg imper - 2p;Ь
29504;;что-нибудь;ЧТО-НИБУДЬ;SPRO n inan acc sg;;;Ну , говори _что-нибудь_ , я -;ь;д;у;б;и;н;SPRO;ЧТО-НИБУДЬ;S n - acc sg;Ь
29505;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29506;;я;Я;SPRO sg 1p - nom;;;говори что-нибудь , _я_ - то …;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
29507;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
29508;;то;ТО;PART;;;, я - _то_ …;о;т;;;;;PART;ТО;CONJ;О
29509;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29510;;;;;;;;;;;;;;;;;
29511;# sent = 2207;;;;;;;;;;;;;;;;
29512;# speaker = Д;;;;;;;;;;;;;;;;
29513;# sent = 2208;;;;;;;;;;;;;;;;
29514;;Они;ОНИ;SPRO pl - - nom;;;_Они_ говорят на каком-то;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
29515;;говорят;ГОВОРИТЬ;V ipf praes pl indic - 3p;;;Они _говорят_ на каком-то английском;т;я;р;о;в;о;V;ГОВОРИТЬ;V ipf praes pl indic - 3p;Ь
29516;;на;НА;PR;;;Они говорят _на_ каком-то английском .;а;н;;;;;PR;НА;PR;А
29517;;каком-то;КАКОЙ-ТО;APRO - loc sg plen m -;;;Они говорят на _каком-то_ английском .;о;т;-;м;о;к;APRO;КАКОЙ-ТО;A - loc sg plen m -;О
29518;;английском;АНГЛИЙСКИЙ;A - loc sg plen m -;;;говорят на каком-то _английском_ .;м;о;к;с;й;и;A;АНГЛИЙСКИЙ;A - loc sg plen m -;Й
29519;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29520;;;;;;;;;;;;;;;;;
29521;# sent = 2209;;;;;;;;;;;;;;;;
29522;;По-моему;ПО-МОЕМУ;ADV -;;;. _По-моему_ …;у;м;е;о;м;-;ADV;ПО-МОЕМУ;ADV -;У
29523;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29524;;;;;;;;;;;;;;;;;
29525;# sent = 2210;;;;;;;;;;;;;;;;
29526;;У;У;INTJ;;;… _У_ му …;у;;;;;;INTJ;У;INTJ;У
29527;;му;МУ;NONLEX;;;У _му_ …;у;м;;;;;INTJ;МУ;S n inan nonflex -;У
29528;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29529;;;;;;;;;;;;;;;;;
29530;# sent = 2211;;;;;;;;;;;;;;;;
29531;;У;У;PR;;;… _У_ мужчины , у;у;;;;;;PR;У;PR;У
29532;;мужчины;МУЖЧИНА;S m anim gen sg;;;У _мужчины_ , у него;ы;н;и;ч;ж;у;S;МУЖЧИНА;S m anim gen sg;А
29533;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29534;;у;У;PR;;;У мужчины , _у_ него какой-то акцент;у;;;;;;PR;У;PR;У
29535;;него;ОН;SPRO sg 3p m acc;;;мужчины , у _него_ какой-то акцент ,;о;г;е;н;;;SPRO;ОН;SPRO sg 3p m acc;Н
29536;;какой-то;КАКОЙ-ТО;APRO - nom sg plen m -;;;, у него _какой-то_ акцент , что;о;т;-;й;о;к;APRO;КАКОЙ-ТО;A - nom sg plen m -;О
29537;;акцент;АКЦЕНТ;S m inan nom sg;;;у него какой-то _акцент_ , что -;т;н;е;ц;к;а;S;АКЦЕНТ;S m inan nom sg;Т
29538;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29539;;что;ЧТО;PART;слитно со следующим;;какой-то акцент , _что_ - ли .;о;т;ч;;;;CONJ;ЧТО;CONJ;О
29540;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
29541;;ли;ЛИ;PART;;;, что - _ли_ .;и;л;;;;;PART;ЛИ;PART;И
29542;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29543;;;;;;;;;;;;;;;;;
29544;# sent = 2212;;;;;;;;;;;;;;;;
29545;;(;(;PUNCT;;;;;;;;;;PUNCT;;;
29546;;Сейчас;СЕЙЧАС;ADV -;;;( _Сейчас_ / щас );с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -;С
29547;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
29548;;щас;ЩАС;ADV -;;;( Сейчас / _щас_ ) , я;с;а;щ;;;;ADV;ЩАС;ADV -;С
29549;;););PUNCT;;;;;;;;;;PUNCT;;;
29550;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29551;;я;Я;SPRO sg 1p - nom;;;щас ) , _я_ не могу понять;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
29552;;не;НЕ;PART;;;) , я _не_ могу понять до;е;н;;;;;PART;НЕ;PART;Е
29553;;могу;МОЧЬ;V ipf praes sg indic - 1p;;;, я не _могу_ понять до конца;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p;Ь
29554;;понять;ПОНЯТЬ;V pf - - inf - -;;;я не могу _понять_ до конца ,;ь;т;я;н;о;п;V;ПОНЯТЬ;V pf - - inf - -;Ь
29555;;до;ДО;PR;;;не могу понять _до_ конца , они;о;д;;;;;PR;ДО;PR;О
29556;;конца;КОНЕЦ;S m inan gen sg;;;могу понять до _конца_ , они мало;а;ц;н;о;к;;S;КОНЕЦ;S m inan gen sg;Ц
29557;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29558;;они;ОНИ;SPRO pl - - nom;;;до конца , _они_ мало говорят .;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
29559;;мало;МАЛО;ADV -;;;конца , они _мало_ говорят .;о;л;а;м;;;ADV;МАЛО;ADV -;О
29560;;говорят;ГОВОРИТЬ;V ipf praes pl indic - 3p;;;, они мало _говорят_ .;т;я;р;о;в;о;V;ГОВОРИТЬ;V ipf praes pl indic - 3p;Ь
29561;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29562;;;;;;;;;;;;;;;;;
29563;# sent = 2213;;;;;;;;;;;;;;;;
29564;;Это;ЭТО;SPRO n - nom sg;;;. _Это_ очень сложно .;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
29565;;очень;ОЧЕНЬ;ADV -;;;Это _очень_ сложно .;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
29566;;сложно;СЛОЖНО;ADV -;;;Это очень _сложно_ .;о;н;ж;о;л;с;A;СЛОЖНЫЙ;A - - sg brev n -;Й
29567;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29568;;;;;;;;;;;;;;;;;
29569;# sent = 2214;;;;;;;;;;;;;;;;
29570;# speaker = Я;;;;;;;;;;;;;;;;
29571;# sent = 2215;;;;;;;;;;;;;;;;
29572;;Эээ;ЭЭЭ;NONLEX;;;_Эээ_ …;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX;Э
29573;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29574;;;;;;;;;;;;;;;;;
29575;# sent = 2216;;;;;;;;;;;;;;;;
29576;# speaker = Д;;;;;;;;;;;;;;;;
29577;# sent = 2217;;;;;;;;;;;;;;;;
29578;;Я;Я;SPRO sg 1p - nom;;;_Я_ не могу ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
29579;;не;НЕ;PART;;;Я _не_ могу , я;е;н;;;;;PART;НЕ;PART;Е
29580;;могу;МОЧЬ;V ipf praes sg indic - 1p;;;Я не _могу_ , я знаю;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p;Ь
29581;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29582;;я;Я;SPRO sg 1p - nom;;;не могу , _я_ знаю английский ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
29583;;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;могу , я _знаю_ английский , но;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p;Ь
29584;;английский;АНГЛИЙСКИЙ;A - acc sg plen m -;;;, я знаю _английский_ , но я;й;и;к;с;й;и;A;АНГЛИЙСКИЙ;A - nom sg plen m -;Й
29585;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29586;;но;НО;CONJ;;;знаю английский , _но_ я не могу;о;н;;;;;CONJ;НО;CONJ;О
29587;;я;Я;SPRO sg 1p - nom;;;английский , но _я_ не могу понять;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
29588;;не;НЕ;PART;;;, но я _не_ могу понять ,;е;н;;;;;PART;НЕ;PART;Е
29589;;могу;МОЧЬ;V ipf praes sg indic - 1p;;;но я не _могу_ понять ,;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p;Ь
29590;;понять;ПОНЯТЬ;V pf - - inf - -;;;я не могу _понять_ ,;ь;т;я;н;о;п;V;ПОНЯТЬ;V pf - - inf - -;Ь
29591;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29592;;;;;;;;;;;;;;;;;
29593;# sent = 2218;;;;;;;;;;;;;;;;
29594;# speaker = Я;;;;;;;;;;;;;;;;
29595;# sent = 2219;;;;;;;;;;;;;;;;
29596;;Окей;ОКЕЙ;ADV;;;_Окей_ …;й;е;к;о;;;S;ОКЕЙ;S m anim nom sg;Й
29597;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29598;;;;;;;;;;;;;;;;;
29599;# sent = 2220;;;;;;;;;;;;;;;;
29600;# speaker = Д;;;;;;;;;;;;;;;;
29601;# sent = 2221;;;;;;;;;;;;;;;;
29602;;что;ЧТО;SPRO n inan acc sg;;;_что_ он говорит ,;о;т;ч;;;;CONJ;ЧТО;CONJ;О
29603;;он;ОН;SPRO sg 3p m nom;;;что _он_ говорит , он;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
29604;;говорит;ГОВОРИТЬ;V ipf praes sg indic - 3p;;;что он _говорит_ , он слишком;т;и;р;о;в;о;V;ГОВОРИТЬ;V ipf praes sg indic - 3p;Ь
29605;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29606;;он;ОН;SPRO sg 3p m nom;;;он говорит , _он_ слишком … непонятно;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
29607;;слишком;СЛИШКОМ;ADV -;;;говорит , он _слишком_ … непонятно …;м;о;к;ш;и;л;ADV;СЛИШКОМ;ADV -;М
29608;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29609;;непонятно;НЕПОНЯТНО;ADV -;;;он слишком … _непонятно_ …;о;н;т;я;н;о;A;НЕПОНЯТНЫЙ;A - - sg brev n -;Й
29610;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29611;;;;;;;;;;;;;;;;;
29612;# sent = 2222;;;;;;;;;;;;;;;;
29613;# speaker = Я;;;;;;;;;;;;;;;;
29614;# sent = 2223;;;;;;;;;;;;;;;;
29615;;Типа;ТИПА;PART;;;_Типа_ , не зн;а;п;и;т;;;PART;ТИПА;PART;А
29616;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29617;;не;НЕ;PART;;;Типа , _не_ зн …;е;н;;;;;PART;НЕ;PART;Е
29618;;зн;ЗН;NONLEX;;;Типа , не _зн_ …;н;з;;;;;NONLEX;ЗН;NONLEX;Н
29619;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29620;;;;;;;;;;;;;;;;;
29621;# sent = 2224;;;;;;;;;;;;;;;;
29622;;Ну;НУ;PART;;;… _Ну_ , короче ,;у;н;;;;;PART;НУ;PART;У
29623;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29624;;короче;КОРОЧЕ;ADV comp;;;Ну , _короче_ , не молчи;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp;Е
29625;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29626;;не;НЕ;PART;;;, короче , _не_ молчи , в;е;н;;;;;PART;НЕ;PART;Е
29627;;молчи;МОЛЧАТЬ;V ipf - sg imper - 2p;;;короче , не _молчи_ , в общем;и;ч;л;о;м;;V;МОЛЧАТЬ;V ipf - sg imper - 2p;Ь
29628;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29629;;в;В;PARENTH;слитно со следующим;;не молчи , _в_ общем , описывай;в;;;;;;PR;В;PR;В
29630;;общем;ОБЩИЙ;PARENTH;;;молчи , в _общем_ , описывай ,;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
29631;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29632;;описывай;ОПИСЫВАТЬ;V ipf - sg imper - 2p;;;в общем , _описывай_ , что угодно;й;а;в;ы;с;и;V;ОПИСЫВАТЬ;V ipf - sg imper - 2p;Ь
29633;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29634;;что;ЧТО;SPRO n inan acc sg;;;, описывай , _что_ угодно .;о;т;ч;;;;CONJ;ЧТО;CONJ;О
29635;;угодно;УГОДНО;PART;;;описывай , что _угодно_ .;о;н;д;о;г;у;PART;УГОДНО;PART;О
29636;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29637;;;;;;;;;;;;;;;;;
29638;# sent = 2225;;;;;;;;;;;;;;;;
29639;# speaker = Д;;;;;;;;;;;;;;;;
29640;# sent = 2226;;;;;;;;;;;;;;;;
29641;;Женщина;ЖЕНЩИНА;S f anim nom sg;;;_Женщина_ …;а;н;и;щ;н;е;S;ЖЕНЩИНА;S f anim nom sg;А
29642;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29643;;;;;;;;;;;;;;;;;
29644;# sent = 2227;;;;;;;;;;;;;;;;
29645;;Женщина;ЖЕНЩИНА;S f anim nom sg;;;… _Женщина_ че-то;а;н;и;щ;н;е;S;ЖЕНЩИНА;S f anim nom sg;А
29646;"<distinct form=""";;;;;;;;;;;;;;;;
29647;<dist>;че-то;;;;;;;;;;;;;;;
29648;""">";;;;;;;;;;;;;;;;
29649;;что-то;ЧТО-ТО;SPRO n inan acc sg;;;че-то _что-то_ …;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - acc sg;О
29650;</distinct>;;;;;;;;;;;;;;;;
29651;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29652;;;;;;;;;;;;;;;;;
29653;# sent = 2228;;;;;;;;;;;;;;;;
29654;;Женщину;ЖЕНЩИНА;S f anim acc sg;;;… _Женщину_ я могу понять;у;н;и;щ;н;е;S;ЖЕНЩИНА;S f anim acc sg;А
29655;;я;Я;SPRO sg 1p - nom;;;Женщину _я_ могу понять ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
29656;;могу;МОЧЬ;V ipf praes sg indic - 1p;;;Женщину я _могу_ понять , а;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p;Ь
29657;;понять;ПОНЯТЬ;V pf - - inf - -;;;Женщину я могу _понять_ , а мужчину;ь;т;я;н;о;п;V;ПОНЯТЬ;V pf - - inf - -;Ь
29658;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29659;;а;А;CONJ;;;могу понять , _а_ мужчину не могу;а;;;;;;CONJ;А;CONJ;А
29660;;мужчину;МУЖЧИНА;S m anim acc sg;;;понять , а _мужчину_ не могу ,;у;н;и;ч;ж;у;S;МУЖЧИНА;S m anim acc sg;А
29661;;не;НЕ;PART;;;, а мужчину _не_ могу , потому что;е;н;;;;;PART;НЕ;PART;Е
29662;;могу;МОЧЬ;V ipf praes sg indic - 1p;;;а мужчину не _могу_ , потому что …;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p;Ь
29663;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29664;;потому что;потому что;CONJ;;;не могу , _потому что_ … он говорит;о;т;ч;;у;м;CONJ;потому что;CONJ;о
29665;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29666;;он;ОН;SPRO sg 3p m nom;;;, потому что … _он_ говорит как-то …;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
29667;;говорит;ГОВОРИТЬ;V ipf praes sg indic - 3p;;;потому что … он _говорит_ как-то … не;т;и;р;о;в;о;V;ГОВОРИТЬ;V ipf praes sg indic - 3p;Ь
29668;;как-то;КАК-ТО;ADV -;;;… он говорит _как-то_ … не знаю;о;т;-;к;а;к;ADV;КАК-ТО;ADV -;О
29669;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29670;;не;НЕ;PART;;;говорит как-то … _не_ знаю , не;е;н;;;;;PART;НЕ;PART;Е
29671;;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;как-то … не _знаю_ , не совсем;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p;Ь
29672;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29673;;не;НЕ;PART;;;не знаю , _не_ совсем понятно .;е;н;;;;;PART;НЕ;PART;Е
29674;;совсем;СОВСЕМ;ADV -;;;знаю , не _совсем_ понятно .;м;е;с;в;о;с;ADV;СОВСЕМ;ADV -;М
29675;;понятно;ПОНЯТНО;ADV -;;;, не совсем _понятно_ .;о;н;т;я;н;о;ADV;ПОНЯТНО;ADV -;О
29676;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29677;;;;;;;;;;;;;;;;;
29678;# sent = 2229;;;;;;;;;;;;;;;;
29679;;Вот;ВОТ;PART;;;. _Вот_ .;т;о;в;;;;PART;ВОТ;PART;Т
29680;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29681;;;;;;;;;;;;;;;;;
29682;# sent = 2230;;;;;;;;;;;;;;;;
29683;;Как будто;Как будто;CONJ;;;. _Как будто_ бы он …;о;т;д;у;б;;CONJ;Как будто;CONJ;о
29684;;бы;БЫ;PART;;;Как будто _бы_ он …;ы;б;;;;;PART;БЫ;PART;Ы
29685;;он;ОН;SPRO sg 3p m nom;;;Как будто бы _он_ …;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
29686;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
29687;;;;;;;;;;;;;;;;;
29688;# sent = 2231;;;;;;;;;;;;;;;;
29689;;Блин;БЛИН;INTJ;;;… _Блин_ , я её;н;и;л;б;;;S;БЛИН;S m inan nom sg;Н
29690;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29691;;я;Я;SPRO sg 1p - nom;;;Блин , _я_ её тоже не;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
